h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
1.000000000000e-16,1.000000000000e-14,5.001044079655e-01,1.421085471520e+00,5.001044079655e-01,9.209810635547e-01,4.207745263329e-14,7.621781304240e+00,-1.421085471520e+14,-0.000000000000e+00,0.000000000000e+00,1.421085471520e+14,7.621781304240e+00,7.621781304240e+00
3.324597932271e-16,3.324597932271e-14,5.001044079655e-01,4.274458146431e-01,5.001044079655e-01,7.265859332239e-02,3.164135620182e-14,7.621781304240e+00,6.428533966378e+12,-0.000000000000e+00,5.846717582588e+00,6.428533966370e+12,7.621781304240e+00,1.775063721652e+00
1.105295141126e-15,1.105295141126e-13,5.001044079655e-01,5.142827173102e-01,5.001044079654e-01,1.417830934477e-02,5.639932965096e-14,7.621781304240e+00,-5.816124333840e+11,-0.000000000000e+00,7.405627973072e+00,5.816124333916e+11,7.621781304240e+00,2.161533311687e-01
3.674661940737e-15,3.674661940737e-13,5.001044079655e-01,5.027431482870e-01,5.001044079655e-01,2.638740321512e-03,9.769962616701e-15,7.621781304240e+00,5.262055461417e+10,-0.000000000000e+00,7.274433575143e+00,5.262055460655e+10,7.621781304240e+00,3.473477290976e-01
1.221677348997e-14,1.221677348997e-12,5.001044079655e-01,5.001866927102e-01,5.001044079654e-01,8.228474475713e-05,7.016609515631e-14,7.621781304240e+00,0.000000000000e+00,-0.000000000000e+00,7.689892969680e+00,7.621781304240e+00,7.621781304240e+00,6.811166543991e-02
4.061585988377e-14,4.061585988377e-12,5.001044079655e-01,5.003346550065e-01,5.001044079654e-01,2.302470410572e-04,4.962696920074e-14,7.621781304240e+00,-4.307238294741e+08,-0.000000000000e+00,7.596642263854e+00,4.307238370959e+08,7.621781304240e+00,2.513904038643e-02
1.350314037870e-13,1.350314037870e-11,5.001044079655e-01,5.004214743807e-01,5.001044079654e-01,3.170664152871e-04,3.108624468950e-14,7.621781304240e+00,-7.793824716090e+07,-0.000000000000e+00,7.630566351851e+00,7.793825478268e+07,7.621781304240e+00,8.785047610846e-03
4.489251258219e-13,4.489251258219e-11,5.001044079655e-01,5.003118467976e-01,5.001044079654e-01,2.074388321167e-04,5.029310301552e-14,7.621781304240e+00,-1.057702747361e+07,-0.000000000000e+00,7.621099789392e+00,1.057703509539e+07,7.621781304240e+00,6.815148482442e-04
1.492495545052e-12,1.492495545052e-10,5.001044079655e-01,5.001664498527e-01,5.001044079654e-01,6.204188725512e-05,2.997602166488e-14,7.621781304240e+00,-9.569414611587e+05,-0.000000000000e+00,7.621129429764e+00,9.569490829400e+05,7.621781304240e+00,6.518744759267e-04
4.961947603003e-12,4.961947603003e-10,5.001044079655e-01,5.000916161616e-01,5.001044079655e-01,1.279180383507e-05,1.110223024625e-16,7.621781304240e+00,2.885930419706e+04,-0.000000000000e+00,7.621548299261e+00,2.885168241576e+04,7.621781304240e+00,2.330049793073e-04
1.649648074098e-11,1.649648074098e-09,5.001044079655e-01,5.001048239258e-01,5.001044079655e-01,4.159603513854e-07,1.554312234475e-14,7.621781304240e+00,2.611004348365e+03,-0.000000000000e+00,7.621725020218e+00,2.603382567060e+03,7.621781304240e+00,5.628402212476e-05
5.484416576121e-11,5.484416576121e-09,5.001044079655e-01,5.001055796038e-01,5.001044079654e-01,1.171638333797e-06,3.197442310920e-14,7.621781304240e+00,-2.362268910098e+02,-0.000000000000e+00,7.621777927841e+00,2.438486723141e+02,7.621781304240e+00,3.376399769550e-06
1.823348000868e-10,1.823348000868e-08,5.001044079655e-01,5.001044021012e-01,5.001044079654e-01,5.864277841106e-09,7.771561172376e-15,7.621781304240e+00,2.137229073215e+01,-0.000000000000e+00,7.621782792333e+00,1.375050942791e+01,7.621781304240e+00,1.488092828517e-06
6.061898993498e-10,6.061898993498e-08,5.001044079655e-01,5.001046497273e-01,5.001044079654e-01,2.417618896189e-07,4.130029651606e-14,7.621781304240e+00,7.734509973646e+00,1.546901994729e+01,7.621783143476e+00,1.127286694053e-01,7.847238643051e+00,1.839235355128e-06
2.015337685942e-09,2.015337685942e-07,5.001044079655e-01,5.001051636694e-01,5.001044079655e-01,7.557039238826e-07,9.325873406851e-15,7.621781304240e+00,7.697456230869e+00,1.539491246174e+01,7.621781575820e+00,7.567492662904e-02,7.773131157498e+00,2.715793172570e-07
6.700187503510e-09,6.700187503510e-07,5.001044079655e-01,5.001069598015e-01,5.001044079654e-01,2.551836080777e-06,3.286260152890e-14,7.621781304240e+00,7.644752356951e+00,1.525784942464e+01,7.621781188352e+00,2.297105271084e-02,7.636068120399e+00,1.158879507912e-07
2.227542952000e-08,2.227542952000e-06,5.001044079655e-01,5.001128995261e-01,5.001044079653e-01,8.491560649415e-06,1.282307593442e-13,7.621781304240e+00,7.619584484712e+00,1.524489690364e+01,7.621781361091e+00,2.196819528360e-03,7.623115599395e+00,5.685058557248e-08
7.405684692262e-08,7.405684692262e-06,5.001044079655e-01,5.001326298296e-01,5.001044079654e-01,2.822186415041e-05,7.094325127355e-14,7.621781304240e+00,7.621948316163e+00,1.524337840566e+01,7.621781293706e+00,1.670119226711e-04,7.621597101415e+00,1.053428011488e-08
2.462092401495e-07,2.462092401495e-05,5.001044079655e-01,5.001982355921e-01,5.001044079656e-01,9.382762666132e-05,1.094679902280e-13,7.621781304240e+00,7.621770332019e+00,1.524358754986e+01,7.621781172076e+00,1.097222097624e-05,7.621806245617e+00,1.321648586128e-07
8.185467307069e-07,8.185467307069e-05,5.001044079655e-01,5.004163469755e-01,5.001044079655e-01,3.119390100775e-04,7.438494264989e-14,7.621781304240e+00,7.621762719235e+00,1.524356149485e+01,7.621779751153e+00,1.858500588359e-05,7.621780190612e+00,1.553087137118e-06
